iso,country,date,rho,psiC,psiD,psiN,alphaC,alphaD,deltaC,deltaD,thetaD,thetaS,betaTilLC,betaTilLD,betaTilLS,betaTilLR,betaTilKCC,betaTilKDC,betaTilKSC,betaTilKRC,betaTilKCD,betaTilKDD,betaTilKSD,betaTilKRD,betaTilICC,betaTilICD,betaTilICS,betaTilIDC,betaTilIDD,betaTilIDS,betaTilISC,betaTilISD,betaTilISS,betaTilIRC,betaTilIRD,betaTilIRS,DC1,DD1,DS1,DR1,xFC1,xFD1,xFS1,xFR1,xC1,xD1,xS1,xR1,yC1,yD1,yS1,yR1,gdp,labinc1,capCinc1,capDinc1,L_hat
AUT,austria,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.33979426,0.30140842,0.33954448,0.45935468,0.13002726,0.09616262,0.12693264,0.17059432,0.17026665,0.12592195,0.16621434,0.22338794,0.09063316,0.22409746,0.04518121,0.01430895,0.39731872,0.06487935,0.01823147,0.07074091,0.27833615,0.03817266,0.0483046,0.06018581,0,-0.0003148,0.00001317,-0.00009248,0.00081627,0.00085126,0.00054264,0.00318709,0.00110534,0.00244936,0.00133807,0.00686865,0.00110534,0.00276416,0.0013249,0.00696113,0.0078559,0.00316508,0.00320172,0.00196285,1.0044133
CAN,canada,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.39772635,0.29058317,0.3497068,0.46062419,0.11161075,0.09097699,0.12151794,0.18128061,0.1461508,0.11913153,0.15912395,0.23738131,0.00783276,0.25955764,0.0771217,0.00742516,0.42747913,0.06440402,0.00899117,0.05495862,0.30570153,0.02133009,0.03366974,0.06571406,0,0.00037827,0.0001365,-0.00162475,0.0040957,0.00353546,0.00231421,0.01320805,0.00456777,0.00940087,0.00602129,0.02769911,0.00456777,0.00902261,0.00588479,0.02932385,0.03285552,0.01332884,0.01332679,0.00817151,1.0019511
CHN,china,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.22060215,0.13810616,0.18643494,0.32769639,0.09960895,0.09660963,0.13073908,0.16484024,0.13043481,0.1265073,0.17119874,0.21585315,0.00702245,0.27787129,0.26446036,0.00492904,0.50449199,0.12935589,0.0075243,0.09272981,0.41137314,0.02052936,0.12974023,0.14134062,0,-0.00496984,-0.00284443,0.00540973,0.01119107,0.01615142,0.00631384,0.01622427,0.01206398,0.05409345,0.03371087,0.06292442,0.01206398,0.05906329,0.0365553,0.05751469,0.06476077,0.02117741,0.02594528,0.02050082,1.0008671
CZE,czechrepublic,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.22821125,0.18829192,0.22324212,0.3727528,0.11131362,0.08002353,0.1058494,0.18288565,0.14576171,0.10478832,0.13860649,0.23948306,0.28084588,0.18617339,0.04769415,0.01253207,0.51075629,0.10360787,0.01634285,0.08463602,0.43132311,0.05050203,0.07883798,0.07553848,0,-0.00034705,0.00012646,0.00008955,0.00041944,0.0005315,0.00034118,0.00122441,0.00072884,0.00208761,0.00115948,0.00358569,0.00072884,0.00243466,0.00103302,0.00349614,0.00351419,0.00127839,0.00145947,0.00097518,1.0033389
DNK,denmark,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.44971563,0.37107702,0.39379926,0.52516225,0.08541444,0.06485949,0.10111125,0.14677451,0.11184755,0.08493148,0.13240203,0.19219664,0.02161463,0.28103726,0.05037049,0.01234595,0.39806232,0.06872375,0.01958653,0.05957304,0.29352789,0.04104912,0.03443675,0.06038073,0,0.00019598,-0.0001924,-0.00026485,0.00061511,0.00051505,0.00030519,0.00306308,0.00080693,0.00140841,0.00097184,0.00639704,0.00080693,0.00121243,0.00116424,0.00666189,0.00662416,0.00301897,0.00261819,0.00141482,1.0025153
FIN,finland,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.356297,0.28705294,0.32796,0.46941814,0.09352747,0.09542495,0.11265896,0.16155271,0.1224713,0.124956,0.1475234,0.21154824,0.08413665,0.28423248,0.0593351,0.00845396,0.40931077,0.07480137,0.01122194,0.07681489,0.3238208,0.03413468,0.04605394,0.07729229,0,-0.00025302,-0.00016392,0.00018633,0.00062614,0.00067116,0.00031246,0.00194144,0.0007847,0.00198485,0.00105765,0.00449856,0.0007847,0.00223786,0.00122157,0.00431223,0.00502943,0.00214648,0.00195572,0.00121352,1.012551
FRA,france,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.37018445,0.31312944,0.37220815,0.4941793,0.11607402,0.07732508,0.10948077,0.16509708,0.15199532,0.10125478,0.14336165,0.21618948,0.12498517,0.18466892,0.05209212,0.00764549,0.41288193,0.08776328,0.00935027,0.07443017,0.291169,0.01604044,0.04777219,0.06072151,0,-0.00002747,-0.00033111,0.00090139,0.00587341,0.00400203,0.0041888,0.02500099,0.00737567,0.0124512,0.01019701,0.05017129,0.00737567,0.01247868,0.01052812,0.0492699,0.05468001,0.02246598,0.02311003,0.01281164,1.0025288
DEU,germany,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.38557821,0.33855098,0.36684055,0.46608352,0.11426629,0.07877679,0.1231783,0.19025535,0.14962815,0.10315575,0.16129814,0.24913345,0.04250889,0.23595652,0.07206195,0.00822969,0.40761666,0.06367015,0.01005928,0.05902299,0.27960075,0.0183225,0.03574658,0.04045861,0,-0.0065245,-0.00090773,0.00423467,0.00460649,0.00869179,0.00606704,0.0285291,0.00569172,0.02432417,0.0134343,0.06087035,0.00569172,0.03084868,0.01434202,0.05663569,0.07024217,0.02922292,0.02861949,0.0167941,1.0121067
GRC,greece,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.24905343,0.26214322,0.30887004,0.33438892,0.17651215,0.13958179,0.18446997,0.23891,0.23113716,0.18277801,0.24155767,0.3128452,0.0049588,0.29421259,0.04412587,0.01443065,0.3392882,0.06177812,0.01475776,0.05960674,0.19073783,0.01732987,0.03629064,0.06023537,0,0.00048802,0.0002782,0.00028699,0.00086287,0.00057982,0.0008812,0.00295035,0.0009408,0.00128743,0.00133388,0.00520078,0.0009408,0.0007994,0.00105568,0.00491378,0.00634192,0.00166054,0.00322959,0.00193847,1.0068275
IND,india,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.35373758,0.15428985,0.17176474,0.26578223,0.12230994,0.15725282,0.19129364,0.2747376,0.16016106,0.20591766,0.25049305,0.35976032,0.03105504,0.29746944,0.03526695,0.01710348,0.4033586,0.06207758,0.01521396,0.04763944,0.32359516,0.01495494,0.03720093,0.04756398,0,0.00065446,-0.0004698,0.00024516,0.00378702,0.00260248,0.00275789,0.00794735,0.00423532,0.00699967,0.0056468,0.01912977,0.00423532,0.0063452,0.0061166,0.01888461,0.02259064,0.00557491,0.0107277,0.00764779,1.0005164
