iso_i,iso_n,country_i,country_n,date,pimatrixC1_col,pimatrixD1_col,pimatrixS1_col
AUT,AUT,austria,austria,184,1,0.23895268,0.32964327
AUT,CAN,austria,canada,184,0,0.00196627,0.00065243
AUT,CHN,austria,china,184,0,0.00091159,0.00020027
AUT,CZE,austria,czechrepublic,184,0,0.03316354,0.02779112
AUT,DNK,austria,denmark,184,0,0.0111061,0.00707085
AUT,FIN,austria,finland,184,0,0.00562098,0.00281278
AUT,FRA,austria,france,184,0,0.00602914,0.00374447
AUT,DEU,austria,germany,184,0,0.02616728,0.01505174
AUT,GRC,austria,greece,184,0,0.00568246,0.00473223
AUT,IND,austria,india,184,0,0.00106553,0.0004363
AUT,ITA,austria,italy,184,0,0.01011021,0.00659711
AUT,JPN,austria,japan,184,0,0.00065966,0.00039139
AUT,MEX,austria,mexico,184,0,0.00122334,0.00055817
AUT,POL,austria,poland,184,0,0.01806537,0.00827852
AUT,ROU,austria,romania,184,0,0.02584874,0.020381
AUT,KOR,austria,southkorea,184,0,0.00087679,0.00063378
AUT,ESP,austria,spain,184,0,0.00493564,0.00229656
AUT,SWE,austria,sweden,184,0,0.00798352,0.00491324
AUT,GBR,austria,unitedkingdom,184,0,0.00624869,0.00336394
AUT,USA,austria,unitedstates,184,0,0.00150623,0.00087884
AUT,ROW,austria,zz_row,184,0,0.00660021,0.00523888
CAN,AUT,canada,austria,184,0,0.00295483,0.00082122
CAN,CAN,canada,canada,184,1,0.42713703,0.66055712
CAN,CHN,canada,china,184,0,0.00130257,0.00223134
CAN,CZE,canada,czechrepublic,184,0,0.00099409,0.0012377
CAN,DNK,canada,denmark,184,0,0.00210256,0.00343633
CAN,FIN,canada,finland,184,0,0.00200658,0.00077363
CAN,FRA,canada,france,184,0,0.00264071,0.00152817
CAN,DEU,canada,germany,184,0,0.00139161,0.00178505
CAN,GRC,canada,greece,184,0,0.00045355,0.00106999
CAN,IND,canada,india,184,0,0.00117458,0.00187761
CAN,ITA,canada,italy,184,0,0.00088058,0.00101402
