iso,country,date,L_hat_c,phistar_hat_c,psiS_hat_c,psiR_hat_c,DR2_c,chiC_hat_c,chiD_hat_c,AC_hat_c,AD_hat_c,AS_hat_c,kC_hat_c,kD_hat_c
AUT,austria,161,1.0048754,0.94939336,1.0454835,0.99082289,-0.00013483,0.95662281,0.98597356,1.0064601,1.0328758,1.0099683,0.9995288,0.99322783
AUT,austria,162,0.99865229,0.98588154,1.0261338,0.99443616,-0.00011905,0.97325124,0.96543531,1.0071269,0.99850902,1.004135,0.99916456,0.99391259
AUT,austria,163,1.0008097,0.96474129,1.0626181,0.98624374,-0.00012987,0.98890383,1.011916,1.0103407,1.0057229,1.0160679,0.99893455,0.99323078
AUT,austria,164,1.0051241,1.054428,0.94696177,1.012554,-0.00012161,1.0124866,1.0639558,1.0031001,0.93958811,0.95376534,0.99902762,0.99459477
AUT,austria,165,0.99946338,0.95705293,0.98306439,1.0037489,-0.00014032,0.93857251,0.9489822,1.0010265,1.0641868,1.0047289,0.99886212,0.99635345
AUT,austria,166,1.0040268,1.0137437,0.97312754,1.005826,-0.00010999,1.0257543,0.97208424,1.0039968,1.0729229,1.0102952,0.99816922,0.99521962
AUT,austria,167,0.99679144,0.99730484,0.99699429,1.0006305,-0.00017978,1.0003401,0.98540594,1.0070716,0.98222298,0.99710348,0.99853084,0.9938343
AUT,austria,168,1.0069742,1.0008885,0.89208594,1.0225532,-0.00014713,0.969595,0.94622862,1.0024506,0.96907252,0.98903214,0.99857708,0.99350333
AUT,austria,169,0.9832179,1.0141431,1.1102585,0.9798969,-0.00015459,1.0504889,1.0075719,1.0105362,1.0040558,1.0301041,0.99818723,0.991877
AUT,austria,170,1.0051477,1.0448808,0.97091088,1.0060093,-0.00018042,1.0197585,1.0185518,0.99772487,1.0134415,0.97860181,0.99887861,0.99195636
AUT,austria,171,1.0010782,1.0161214,0.97315862,1.0053515,-0.00012808,0.99514907,0.99159541,0.99969631,0.92953782,1.0205174,0.99889671,0.99206115
AUT,austria,172,1.006462,1.007073,1.0778351,0.98497851,-0.00021903,1.1091031,1.0867647,1.0028694,0.98922795,0.98788962,0.99873822,0.99170561
AUT,austria,173,1.0082932,1.0467436,0.91718668,1.0174889,-0.00017673,0.98654669,1.0262506,0.99820801,1.0986713,0.99365257,1.0004315,0.9946273
AUT,austria,174,1.0058371,0.97513842,0.96264833,1.0071105,-0.00013608,0.97549345,0.95893754,0.99701703,0.94581046,0.97658996,0.99991676,0.99544439
AUT,austria,175,1.0021103,1.0100842,0.96208543,1.006899,-0.00015167,1.0184744,1.0260891,1.0024477,0.90359806,1.0199742,0.99965713,0.99431464
AUT,austria,176,1.0021058,1.0253293,0.99887081,1.0001963,-0.00014641,1.0173965,1.0101081,1.0058673,1.0050446,0.97816714,0.99985208,0.99522831
AUT,austria,177,0.96926714,0.97129581,1.0260393,0.99547871,-0.00014188,0.99793798,1.0064178,1.0200133,1.0671722,1.0271458,1.0000114,0.99533584
AUT,austria,178,1.0119241,1.0076552,1.0639162,0.9885613,-0.00009368,1.024666,1.016224,1.0048648,1.0710357,1.0373065,1.0002321,0.9964259
AUT,austria,179,1.0083021,1.0075445,0.96768735,1.0062236,-0.0001488,1.031175,1.0774354,1.0024456,1.0182902,0.95997902,1.0007555,0.99722184
AUT,austria,180,1.0034529,1.0296451,0.99390948,1.0011281,-0.00006524,0.96270479,0.93836095,0.99937694,1.1071787,1.037394,1.0011856,1.0005366
AUT,austria,181,1.0063526,0.96164485,0.96879344,1.0057387,-0.00008448,0.99804406,0.99544351,1.0055867,0.95084793,0.9418925,1.0003541,0.99732406
AUT,austria,182,1,0.9801418,0.96544951,1.0061202,-0.00006741,0.96800608,0.96199093,1.0035487,0.99647041,1.0150687,1.0006484,0.99795314
AUT,austria,183,1.0097317,0.97683285,0.99889613,1.0001876,-0.00009321,1.0021679,0.98150678,1.0042101,0.99968974,0.98620662,1.0002808,0.99708727
AUT,austria,184,1.0033863,1.002784,1.0025349,0.99956967,-0.00009069,0.97508136,0.97985598,1.0054993,1.0255807,0.99946826,1.0005559,0.99696733
AUT,austria,185,1.0044133,1.0194711,1.0578811,0.99014504,-0.00010498,1.0327881,1.0588365,1.0066323,1.0198109,1.0220018,1.0000846,0.99615224
AUT,austria,186,1.011114,1.0069763,0.98242995,1.0031962,-0.00009519,1.0270825,1.0164609,1.0071804,1.0270795,1.0134525,1.0005309,0.99848801
AUT,austria,187,1.0143149,1.0060286,0.95370526,1.0082471,-0.00007123,1.0051616,0.98832674,1.0019001,0.97974329,0.97853213,1.0010701,0.99917379
AUT,austria,188,1,0.98195519,1.0233613,0.99606344,-0.00013379,1.0285735,1.0600034,1.0068333,0.99174398,1.0063433,1.0011906,0.99856045
AUT,austria,189,1.0073085,1.0105939,1.0517275,0.99104465,-0.00015714,0.99387206,0.99415314,0.99662149,0.99409482,1.0258948,1.001765,1.0014038
AUT,austria,190,1.0062547,0.99854006,1.0486359,0.99106431,-0.00016589,1.010446,1.01883,0.99662841,1.0076641,0.98882158,1.0015305,1.0008669
AUT,austria,191,1.0052213,1.0165218,0.99189013,1.0015766,-0.00019559,1.0224687,1.002042,0.99899473,1.0146132,1.0147603,1.0017359,1.0021396
AUT,austria,192,1.000742,1.0087736,1.039869,0.99232447,-0.00014452,1.1026878,0.99878923,1.0002525,0.99619052,0.99610113,1.0020219,1.0017799
AUT,austria,193,1.0059318,1.0225195,1.0120583,0.99756732,-0.00012765,0.99936721,1.0771281,0.99154732,0.99339129,0.98728792,1.0042094,1.0009763
AUT,austria,194,1.0066339,0.96073601,1.0148257,0.99696558,-0.0001122,0.97961443,0.96949351,0.98370264,1.0422576,0.99760765,1.0037426,1.004666
AUT,austria,195,0.99731511,0.92852768,0.99301992,1.0014542,-0.000296,0.9470063,0.97544216,0.98088122,1.0463805,1.008552,1.0033481,1.0030961
AUT,austria,196,1.0022026,1.017168,0.93297223,1.013847,-0.00026198,1.0438498,0.9602239,0.97800053,1.0929559,1.0061902,1.0024327,1.0029451
AUT,austria,197,0.996337,1.0340362,0.91553814,1.0160567,-0.00023274,0.97971665,0.96134226,0.9842673,0.95330142,0.96549961,1.0031777,1.0000129
AUT,austria,198,0.9997549,1.0295429,1.0562584,0.99036299,-0.00019915,1.0176925,0.9950783,0.99569609,0.94420899,1.0258573,1.0023831,0.99787741
AUT,austria,199,0.99828389,0.99135907,1.0400924,0.99267525,-0.0002115,1.00509,1.0161269,0.99560713,1.0136848,1.0254488,1.0024664,0.99693781
AUT,austria,200,1.0019646,0.96376452,1.1045704,0.97998278,-0.00020173,0.9449095,0.92494496,0.98805712,0.96772059,1.0267231,1.0024627,0.99767946
AUT,austria,201,0.9995098,0.92655783,1.0812132,0.98247748,-0.00016001,0.95269969,0.98246092,0.99900324,0.91432919,0.98822963,1.0015283,0.99534561
AUT,austria,202,1.0002452,0.99862496,1.0364779,0.99133858,-0.00010708,0.98871069,1.0015217,1.0014292,0.98300234,1.0186648,1.0010622,0.99607937
AUT,austria,203,1.0058838,1.0406694,1.0553903,0.98624911,-0.00010615,1.0190079,1.0146008,1.00546,1.0221903,1.0143185,1.0008822,0.99647763
AUT,austria,204,1.0060931,0.98908777,1.0098628,0.99737987,-0.00014803,1.0099407,1.0805653,1.0062775,1.0232614,0.99455745,1.0011009,0.9968278
AUT,austria,205,0.9995155,1.0266276,1.0177482,0.99522603,-0.00008463,1.0485254,1.0125363,1.0033318,1.0137018,0.99753193,1.0012622,1.0009086
AUT,austria,206,1.002666,0.95748852,0.93560161,1.0177141,-0.00012762,0.97202468,1.0198631,0.99762978,0.99406525,0.95710611,1.0021359,1.0009095
AUT,austria,207,1.0036258,0.97928326,0.97891174,1.0053327,-0.00010364,0.99181697,0.95369287,0.99530662,1.0772453,0.99366966,1.001714,1.0029319
AUT,austria,208,1.0019268,1.0002098,0.90360798,1.0237347,-0.00005088,0.95447573,0.96387861,0.99855361,0.91521213,0.98085966,1.0017667,1.0008887
AUT,austria,209,1.0036058,0.97631855,1.1825991,0.96031432,-0.0001017,0.99698704,0.98167088,1.0011184,1.0583465,1.0537734,1.0009126,0.99950776
AUT,austria,210,1.0028743,0.97141807,0.93059774,1.0185752,-0.00008081,0.98219131,0.94254469,0.9998705,0.9408603,0.97327215,1.0010214,0.99893312
