iso_i,iso_n,country_i,country_n,date,dD_hat_c,dS_hat_c
AUT,AUT,austria,austria,161,1,1
AUT,CAN,austria,canada,161,1.108759,1.1481636
AUT,CZE,austria,czechrepublic,161,0.96183995,0.91236759
AUT,DNK,austria,denmark,161,0.94926288,1.08714
AUT,FIN,austria,finland,161,0.96136102,1.0485009
AUT,DEU,austria,germany,161,1.0486288,1.0177526
AUT,GRC,austria,greece,161,1.1460968,1.0234487
AUT,IND,austria,india,161,1.1456832,0.97252615
AUT,ITA,austria,italy,161,1.0064967,0.99055588
AUT,JPN,austria,japan,161,1.0980583,1.1469248
AUT,MEX,austria,mexico,161,0.94769756,1.0112325
AUT,POL,austria,poland,161,1.0296872,1.023226
AUT,ROU,austria,romania,161,1.041983,1.0372506
AUT,KOR,austria,southkorea,161,0.96686009,1.0322981
AUT,ESP,austria,spain,161,1.0457736,0.99018152
AUT,SWE,austria,sweden,161,0.99811431,1.0608169
AUT,GBR,austria,unitedkingdom,161,1.1313021,1.0054905
AUT,USA,austria,unitedstates,161,1.0496609,1.0823582
AUT,ROW,austria,zz_row,161,1.0360046,1.023846
CAN,AUT,canada,austria,161,0.89484657,0.90572824
CAN,CAN,canada,canada,161,1,1
CAN,CZE,canada,czechrepublic,161,0.84704141,0.81097145
CAN,DNK,canada,denmark,161,0.97047555,0.78637878
CAN,FIN,canada,finland,161,1.1285041,0.94484088
CAN,DEU,canada,germany,161,0.87445885,0.9240759
CAN,GRC,canada,greece,161,1.1413753,1.0170402
CAN,IND,canada,india,161,1.1926919,0.90369398
CAN,ITA,canada,italy,161,0.9925023,0.96384057
CAN,JPN,canada,japan,161,1.1077514,0.98416107
CAN,MEX,canada,mexico,161,1.0610258,0.93168915
CAN,POL,canada,poland,161,0.74618778,1.0740788
CAN,ROU,canada,romania,161,0.65956545,1.2265216
CAN,KOR,canada,southkorea,161,1.1074432,1.0202903
CAN,ESP,canada,spain,161,0.97354509,1.0084962
CAN,SWE,canada,sweden,161,0.99191279,0.99782106
CAN,GBR,canada,unitedkingdom,161,0.89054794,1.0287867
CAN,USA,canada,unitedstates,161,1.0565641,1.016469
CAN,ROW,canada,zz_row,161,0.96759448,1.0159007
CZE,AUT,czechrepublic,austria,161,0.87815733,0.93954528
CZE,CAN,czechrepublic,canada,161,0.87995182,1.0223014
CZE,CZE,czechrepublic,czechrepublic,161,1,1
CZE,DNK,czechrepublic,denmark,161,0.84682797,0.84305838
CZE,FIN,czechrepublic,finland,161,0.96442084,0.9852574
CZE,DEU,czechrepublic,germany,161,0.84337204,0.94069427
